Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ALL_Cases,Chrome 129.0.0.0,,,15-10-2024 15:37:37,15-10-2024 15:38:17,40.348s,PASSED
,,,,,,,
Test Cases/Record_Mode_Cases/Record_Demo_Test_Case,Chrome 129.0.0.0,Use Spy Web functionality to get Objects,Spy Web,15-10-2024 15:37:37,15-10-2024 15:37:56,18.541s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,15-10-2024 15:37:37,15-10-2024 15:37:42,4.843s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,15-10-2024 15:37:42,15-10-2024 15:37:42,0.125s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 129.0.0.0,,,15-10-2024 15:37:42,15-10-2024 15:37:45,2.644s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/a_Make Appointment""))",Chrome 129.0.0.0,,,15-10-2024 15:37:45,15-10-2024 15:37:46,0.967s,PASSED
"setText(findTestObject(""Object Repository/Record_Mode_Objects/input_Username_username""), ""John Doe"")",Chrome 129.0.0.0,,,15-10-2024 15:37:46,15-10-2024 15:37:47,0.768s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record_Mode_Objects/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 129.0.0.0,,,15-10-2024 15:37:47,15-10-2024 15:37:47,0.449s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/button_Login""))",Chrome 129.0.0.0,,,15-10-2024 15:37:47,15-10-2024 15:37:48,0.969s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Record_Mode_Objects/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 129.0.0.0,,,15-10-2024 15:37:48,15-10-2024 15:37:49,1.189s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/input_Apply for hospital readmission_hospit_63901f""))",Chrome 129.0.0.0,,,15-10-2024 15:37:49,15-10-2024 15:37:50,0.311s,PASSED
