Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ALL_Cases,Chrome 129.0.0.0,,,11-10-2024 17:12:49,11-10-2024 17:13:05,16.115s,PASSED
,,,,,,,
Test Cases/Manual_Mode_Cases/Manual_Demo_Test_Case,Chrome 129.0.0.0,Add Manually Test Case Steps using SPY WEB,Spy Web,11-10-2024 17:12:49,11-10-2024 17:13:05,15.814s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,11-10-2024 17:12:50,11-10-2024 17:12:53,3.941s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,11-10-2024 17:12:53,11-10-2024 17:12:54,0.145s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 129.0.0.0,,,11-10-2024 17:12:54,11-10-2024 17:12:58,3.885s,PASSED
"verifyTextPresent(""Login"", false)",Chrome 129.0.0.0,,,11-10-2024 17:12:58,11-10-2024 17:12:59,0.996s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 129.0.0.0,,,11-10-2024 17:12:59,11-10-2024 17:12:59,0.688s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 129.0.0.0,,,11-10-2024 17:12:59,11-10-2024 17:13:00,0.450s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Chrome 129.0.0.0,,,11-10-2024 17:13:00,11-10-2024 17:13:01,1.429s,PASSED
delay(2),Chrome 129.0.0.0,,,11-10-2024 17:13:01,11-10-2024 17:13:03,2.051s,PASSED
"verifyTextPresent(""Dashboard"", false)",Chrome 129.0.0.0,,,11-10-2024 17:13:03,11-10-2024 17:13:04,0.519s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,11-10-2024 17:13:04,11-10-2024 17:13:05,1.371s,PASSED
