Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ALL_Cases,Firefox 129.0,,,15-10-2024 15:38:34,15-10-2024 15:39:31,57.831s,PASSED
,,,,,,,
Test Cases/Record_Mode_Cases/Record_Demo_Test_Case,Firefox 129.0,Use Spy Web functionality to get Objects,Spy Web,15-10-2024 15:38:34,15-10-2024 15:39:04,30.564s,PASSED
"openBrowser("""")",Firefox 129.0,,,15-10-2024 15:38:34,15-10-2024 15:38:45,10.743s,PASSED
maximizeWindow(),Firefox 129.0,,,15-10-2024 15:38:45,15-10-2024 15:38:45,0.332s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 129.0,,,15-10-2024 15:38:45,15-10-2024 15:38:53,7.469s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/a_Make Appointment""))",Firefox 129.0,,,15-10-2024 15:38:53,15-10-2024 15:38:53,0.907s,PASSED
"setText(findTestObject(""Object Repository/Record_Mode_Objects/input_Username_username""), ""John Doe"")",Firefox 129.0,,,15-10-2024 15:38:53,15-10-2024 15:38:54,0.750s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record_Mode_Objects/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 129.0,,,15-10-2024 15:38:54,15-10-2024 15:38:54,0.295s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/button_Login""))",Firefox 129.0,,,15-10-2024 15:38:54,15-10-2024 15:38:55,0.840s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Record_Mode_Objects/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Firefox 129.0,,,15-10-2024 15:38:55,15-10-2024 15:38:57,1.247s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/input_Apply for hospital readmission_hospit_63901f""))",Firefox 129.0,,,15-10-2024 15:38:57,15-10-2024 15:38:57,0.462s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/input_None_programs""))",Firefox 129.0,,,15-10-2024 15:38:57,15-10-2024 15:38:58,0.463s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/div_Visit Date (Required)_input-group-addon""))",Firefox 129.0,,,15-10-2024 15:38:58,15-10-2024 15:38:58,0.493s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/th_""))",Firefox 129.0,,,15-10-2024 15:38:58,15-10-2024 15:38:58,0.469s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/td_24""))",Firefox 129.0,,,15-10-2024 15:38:58,15-10-2024 15:38:59,0.490s,PASSED
"setText(findTestObject(""Object Repository/Record_Mode_Objects/textarea_Comment_comment""), ""Jida Intezaar si, Aaj Rabba Wohi Din Aaya hai"")",Firefox 129.0,,,15-10-2024 15:38:59,15-10-2024 15:38:59,0.523s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/button_Book Appointment""))",Firefox 129.0,,,15-10-2024 15:38:59,15-10-2024 15:39:00,0.699s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record_Mode_Objects/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Firefox 129.0,,,15-10-2024 15:39:00,15-10-2024 15:39:01,0.482s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record_Mode_Objects/p_Jida Intezaar si, Aaj Rabba Wohi Din Aaya hai""), ""Jida Intezaar si, Aaj Rabba Wohi Din Aaya hai"")",Firefox 129.0,,,15-10-2024 15:39:01,15-10-2024 15:39:01,0.243s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/a_Go to Homepage""))",Firefox 129.0,,,15-10-2024 15:39:01,15-10-2024 15:39:01,0.560s,PASSED
closeBrowser(),Firefox 129.0,,,15-10-2024 15:39:01,15-10-2024 15:39:04,2.855s,PASSED
,,,,,,,
Test Cases/Script_Mode_Cases/Script_Demo_Test_Case,Firefox 129.0,Script manually to Run a Test Case,Scripting,15-10-2024 15:39:04,15-10-2024 15:39:31,27.080s,PASSED
"openBrowser("""")",Firefox 129.0,,,15-10-2024 15:39:04,15-10-2024 15:39:11,6.953s,PASSED
maximizeWindow(),Firefox 129.0,,,15-10-2024 15:39:11,15-10-2024 15:39:12,0.274s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Firefox 129.0,,,15-10-2024 15:39:12,15-10-2024 15:39:15,3.230s,PASSED
"verifyTextPresent(""Login"", false)",Firefox 129.0,,,15-10-2024 15:39:15,15-10-2024 15:39:16,1.183s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 15:39:16,15-10-2024 15:39:18,2.034s,PASSED
"setText(findTestObject(""Object Repository/Manual_Script_Mode_Objects/input_Username_username""), ""Admin"")",Firefox 129.0,,,15-10-2024 15:39:18,15-10-2024 15:39:19,0.577s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 15:39:19,15-10-2024 15:39:21,2.013s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Manual_Script_Mode_Objects/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Firefox 129.0,,,15-10-2024 15:39:21,15-10-2024 15:39:21,0.299s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 15:39:21,15-10-2024 15:39:23,2.012s,PASSED
"click(findTestObject(""Object Repository/Manual_Script_Mode_Objects/button_Login""))",Firefox 129.0,,,15-10-2024 15:39:23,15-10-2024 15:39:25,1.542s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 15:39:25,15-10-2024 15:39:27,2.006s,PASSED
"verifyTextPresent(""Dashboard"", false)",Firefox 129.0,,,15-10-2024 15:39:27,15-10-2024 15:39:27,0.475s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 15:39:27,15-10-2024 15:39:29,2.010s,PASSED
closeBrowser(),Firefox 129.0,,,15-10-2024 15:39:29,15-10-2024 15:39:31,2.378s,PASSED
